date,event_name,event_date,GPR_custom,F3_raw,GPR,GPR_zscore,N,mean_tone,BTC,Gold,TLT,DXY,SP500,NASDAQ,VIX,fear_greed,fg_label,fear_greed_lag1
2019-01-02,hormuz_crisis,2019-06-13,-0.7736131396081947,0.9726101815608732,189.86,1.4125757062109026,420,-3.508871557643166,0.05223829160589142,0.002109914525054996,0.005253228694377583,0.006736141674937097,0.0012676930626261643,0.004610135188027707,23.219999313354492,30.0,Fear,
2019-01-03,hormuz_crisis,2019-06-13,0.5373988825664844,3.1238367859602567,9.49,-1.5422011661809765,1160,-4.939393105834897,-0.02742232180619206,0.008395609500155037,0.011315187482934875,-0.005281451136241998,-0.02506833181891511,-0.030840003413063557,25.450000762939453,33.0,Fear,30.0
2019-01-04,hormuz_crisis,2019-06-13,-0.6857476896997854,1.1167877255142469,99.02,-0.0755427785042846,609,-2.934361626739746,0.005452331614920808,-0.007069439157760669,-0.01164271483522426,-0.0012467026777095323,0.03375939906034647,0.04171978412266962,21.3799991607666,48.0,Neutral,33.0
2019-01-07,hormuz_crisis,2019-06-13,-0.5720074110175969,1.3034230189778813,83.16,-0.3353573884512558,614,-3.4015487558882693,0.042510901248586794,0.0031913610711298765,-0.0029525208806062365,-0.005002650903429855,0.006985975995229761,0.01247742073715234,21.399999618530273,39.0,Fear,48.0
2019-01-08,hormuz_crisis,2019-06-13,-0.5178394606113021,1.3923066707284688,67.88,-0.585670581388817,549,-3.990484811198412,0.0013901547706836324,-0.0028016342498520465,-0.0026317943837888985,0.001983221158362685,0.009648587336497393,0.010718362847466868,20.469999313354492,39.0,Fear,39.0
2019-01-09,hormuz_crisis,2019-06-13,-0.6363824978093009,1.1977905785238905,106.43,0.045846014667661,567,-3.340955249190796,0.0011030020343775215,0.0047425532281951755,-0.0015659330091569036,-0.007115981214347269,0.004089671332822161,0.008673322865231559,19.979999542236328,42.0,Fear,39.0
2019-01-10,hormuz_crisis,2019-06-13,-0.4014208241541638,1.5833368548598596,76.84,-0.4388900703468962,636,-4.013263880496389,-0.0924592824929815,-0.0035742832584524176,-0.006454294554438658,0.00335500095828451,0.004508241374462229,0.004158283898455209,19.5,37.0,Fear,42.0
2019-01-11,hormuz_crisis,2019-06-13,-0.4197851697138718,1.5532029826510478,101.24,-0.0391752858130945,649,-3.871707806525974,0.002291770109090111,0.0018664166569111902,0.003894128305443112,0.0013597330063223076,-0.0001463085444824661,-0.002090603188675801,18.190000534057617,19.0,Extreme Fear,37.0
2019-01-14,hormuz_crisis,2019-06-13,-0.8971866428417208,0.769839647608153,89.27,-0.2352648747831604,391,-2.957176871173029,0.005054984870562135,0.0015526748231558635,-0.0037280764061801974,-0.0008365767857184733,-0.00527139458724949,-0.009448534565961127,19.06999969482422,16.0,Extreme Fear,19.0
2019-01-15,hormuz_crisis,2019-06-13,-0.7862069626922353,0.9519451023615628,102.54,-0.0178790063092442,355,-3.983027536946776,-0.020548563372547957,-0.0022521847725428135,-0.003658763715559068,0.003967481584089056,0.010664618879761001,0.01692966097108439,18.600000381469727,27.0,Fear,16.0
2019-01-16,hormuz_crisis,2019-06-13,-0.8573011903377219,0.8352872904244127,92.77,-0.1779287376574101,436,-2.9168510715019726,0.006679301401546422,0.004189644244261605,0.0009991902937477445,0.0009373154720789112,0.0022195205290883643,0.0015449514495489678,19.040000915527344,24.0,Extreme Fear,27.0
2019-01-17,hormuz_crisis,2019-06-13,-0.7329119881826105,1.0393962966349104,160.64,0.93390086997821,549,-2.979009740984271,0.006424485580328479,-0.0004646291352922488,0.0002496257848209902,0.00010411842380147599,0.007562730706235749,0.0070500314846657745,18.059999465942383,28.0,Fear,24.0
