date,event_name,event_date,N,mean_tone,F1_raw,F2_raw,F3_raw,F4_raw,F5_raw,F1_z,F2_z,F3_z,F4_z,F5_z,GPR,GPR_zscore
2025-03-17,us_israel_iran,2026-02-28,3437,-3.9146831544621534,3.9146831544621534,4.480118387663865,2.105880946145747,0.7312677520386539,4.480118387663865,0.4005898251745166,0.4053443981085015,-0.2418398047461922,0.4216416577602131,0.6790263856147654,155.96,0.8572342637643499
2025-03-18,us_israel_iran,2026-02-28,6665,-5.090810502520142,5.090810502520142,5.8051872512093095,4.4177511391664295,0.7701827882684111,5.177523052687783,2.319702386943629,2.4052880235396845,1.9775637720165675,1.7290509726150347,2.6110780952609742,201.12,1.5970342502211732
2025-03-19,us_israel_iran,2026-02-28,5016,-4.221607903768463,4.221607903768463,4.850571702816918,3.0093929158250408,0.7496214216552848,5.056876798122889,0.9014056108835752,0.964474392437878,0.6255348874869072,1.0382608606019736,2.2768463155143883,275.09,2.808792553990243
2025-03-20,us_israel_iran,2026-02-28,5470,-4.167825724617829,4.167825724617829,4.76042724848336,3.159046288202576,0.7387292515486441,4.970674544665624,0.8136480599876416,0.8284181980979163,0.7692026552240465,0.6723219836000828,2.0380363110505506,246.2,2.3355236964008363
2025-03-21,us_israel_iran,2026-02-28,3695,-4.39446118659531,4.39446118659531,4.967103897765483,2.499119366200987,0.7575415798272253,4.969802613113248,1.183454070145892,1.1403579460075404,0.1356704718367667,1.3043505157158088,2.035620759605385,158.82,0.9040860786728199
2025-03-22,us_israel_iran,2026-02-28,2770,-5.283715164671896,5.283715164671896,5.992348790842426,2.3975213365523285,0.7920489637783279,5.188034720004627,2.634469117749216,2.687773363292972,0.0381360033899628,2.463678106793445,2.6401990430109343,94.95,-0.14221651510479988
2025-03-23,us_israel_iran,2026-02-28,2987,-4.924219569927056,4.924219569927056,5.712960804569889,2.373135797862429,0.7857814446569099,5.28865250137592,2.0478723406955583,2.266089451203483,0.0147257998443503,2.253111352287722,2.9189450369347765,96.91,-0.11010827831437982
2025-03-24,us_israel_iran,2026-02-28,3924,-4.232602562174215,4.232602562174215,4.914883439438007,2.519345665926546,0.7571259470561119,5.223025189217491,0.9193458340181516,1.0615409308150694,0.1550877912395169,1.290386706115216,2.7371347236200103,141.51,0.6205179262023235
2025-03-25,us_israel_iran,2026-02-28,4397,-4.029817875159119,4.029817875159119,4.574518122838906,2.6108476568232835,0.7501339194178139,5.117160227243831,0.588457651860261,0.5478231430248709,0.2429300267119979,1.0554789956338126,2.443852227774035,139.72,0.5911945875008685
2025-03-26,us_israel_iran,2026-02-28,4614,-3.521717712887112,3.521717712887112,4.283120331743558,2.3635760314510423,0.7160821999585927,4.989106751533871,-0.240620428556128,0.1080126767170718,0.0055483902170706,-0.0885398598276716,2.0890998880215013,155.46,0.8490433870320998
