date,N,mean_tone,sum_tone_x_polarity,sum_polarity,mean_pos,mean_neg,relative_N,coverage_scaled,F1_raw,F2_raw,F3_raw,F4_raw,F5_raw,F1_z,F2_z,F3_z,F4_z,F5_z,event_name,event_date
2019-01-01,364,-2.55346789465184,-7398.41001628046,2656.4075987529577,2.372177589422648,4.925645484074488,0.2768235601358002,0.2443754000304744,2.55346789465184,2.7851185261454683,0.6240047382205166,0.6749472321359122,2.7851185261454683,-1.2673617926824925,-1.3753488815277102,-0.9860621332567934,-1.3338086883559517,-3.2954047009349123,hormuz_crisis,2019-06-13
2019-01-02,420,-3.508871557643166,-12417.685125367809,3146.357990734331,1.9912284958621456,5.500100053505312,0.3194118001566925,0.2771860313445484,3.508871557643166,3.9466853936953417,0.9726101815608732,0.7341955458581138,3.3964695090664545,0.064986320476386,0.138445321355455,-0.7736131396081947,0.1299830801971143,-1.3339567830829158,hormuz_crisis,2019-06-13
2019-01-03,1160,-4.939393105834897,-56527.65641825134,10488.934627519982,2.051395958944608,6.990789064779504,0.8821849718613414,0.6324333210632848,4.939393105834897,5.389265776329546,3.1238367859602567,0.7731305040139821,4.131818685178296,2.0599050751302235,2.0184660773115253,0.5373988825664844,1.0919120816660934,1.025324792759695,hormuz_crisis,2019-06-13
2019-01-04,609,-2.934361626739746,-14362.653017630742,4325.409318038256,2.084058364001437,5.018419990741183,0.4631471102272042,0.3805896707949612,2.934361626739746,3.3205303733300258,1.1167877255142469,0.706573077746893,3.8959104816748735,-0.7361904512701534,-0.6775816043561699,-0.6857476896997854,-0.5524589828446423,0.2684409936118689,hormuz_crisis,2019-06-13
2019-01-05,394,-2.666511269793104,-7815.1970183586145,2697.7657691781305,2.090304985887878,4.756816255680981,0.2996386887184211,0.2620862940822422,2.666511269793104,2.8969145904536777,0.6988560568286087,0.6947176905240643,3.651961398326189,-1.1097183447779575,-1.2296523755556554,-0.9404458423601708,-0.8453587658013866,-0.514241025332431,hormuz_crisis,2019-06-13
2019-01-06,641,-2.04066168768496,-10635.409635011065,5124.122293129465,2.976644423809209,5.017306111494168,0.4874832473819998,0.3970855961100262,2.04066168768496,2.07555733969723,0.8103173627132744,0.6276378730812046,3.315524779110902,-1.9824902862548337,-2.3000736138213718,-0.8725184972244943,-2.5026360525321034,-1.5936584544106132,hormuz_crisis,2019-06-13
2019-01-07,614,-3.4015487558882693,-18233.790853312094,4685.096127332619,2.1144504814472485,5.515999237335517,0.466949631657641,0.3831851643230407,3.4015487558882693,3.891871235455994,1.3034230189778813,0.7228930719191539,3.425998812396326,-0.0846795620777601,0.0670096104233141,-0.5720074110175969,-0.1492563998277069,-1.2392154771063413,hormuz_crisis,2019-06-13
2019-01-08,549,-3.990484811198412,-19868.263850325315,4166.4008633775775,1.799293899844856,5.789778711043267,0.4175168530619624,0.3489066458344281,3.990484811198412,4.768687531957427,1.3923066707284688,0.7629099111183374,3.661751475480238,0.7366150094826428,1.2097069993709773,-0.5178394606113021,0.8394016081946681,-0.4828307111497824,hormuz_crisis,2019-06-13
2019-01-09,567,-3.340955249190796,-16293.784887608766,4331.548272905942,2.149229847102964,5.490185096293759,0.4312059302115349,0.3585173967277783,3.340955249190796,3.7616537692831984,1.1977905785238905,0.7186656487404586,3.678059936995688,-0.1691795984972261,-0.1026943049632435,-0.6363824978093009,-0.253699325919725,-0.4305069253434513,hormuz_crisis,2019-06-13
2019-01-10,636,-4.013263880496389,-22016.456341960627,4885.9572965242405,1.83452945639036,5.847793336886748,0.483680725951563,0.394525977360856,4.013263880496389,4.506068106166756,1.5833368548598596,0.7612012010227195,3.805187337675959,0.7683813205973105,0.8674522610234632,-0.4014208241541638,0.7971861320794085,-0.0226335721759102,hormuz_crisis,2019-06-13
2019-01-11,649,-3.871707806525974,-21512.823413009613,4820.520335596959,1.777952210448074,5.649660016974047,0.4935672816706987,0.4011674073216578,3.871707806525974,4.462759601727835,1.5532029826510478,0.7606293710535906,3.901016894399648,0.5709757889185257,0.8110111169217318,-0.4197851697138718,0.7830584725860529,0.2848243198622777,hormuz_crisis,2019-06-13
2019-01-12,427,-2.381583379870881,-9319.32920924719,2832.346363076045,2.125773138022459,4.507356517893339,0.3247353301593041,0.281212688662166,2.381583379870881,3.2903211735467317,0.6697314655266193,0.6795218474093032,3.81591086622535,-1.5070615319870488,-0.7169512805954305,-0.9581951065519329,-1.2207880172042993,0.0117716113157924,hormuz_crisis,2019-06-13
2019-01-13,273,-3.66136022403995,-8839.953222287962,2086.568568206288,1.9908740422039952,5.652234266243946,0.2076176701018501,0.1886495511564205,3.66136022403995,4.236598478950156,0.690713962887108,0.7395203676489213,3.872317415509855,0.2776377837497828,0.5162701027427109,-0.9454078407945306,0.2615383906645462,0.1927454082641286,hormuz_crisis,2019-06-13
2019-01-14,391,-2.957176871173029,-9657.654878781712,2817.244711868884,2.12402628547344,5.081203156646469,0.297357175860159,0.2603292535906989,2.957176871173029,3.428049696249171,0.769839647608153,0.7052104582462105,3.814712482649506,-0.704373692501646,-0.5374586959985618,-0.8971866428417208,-0.5861239276078133,0.007926738181873,hormuz_crisis,2019-06-13
2019-01-15,355,-3.983027536946776,-12319.61244441399,2750.1069418894467,1.881876290525833,5.864903827472608,0.2699790215610139,0.2390003818781741,3.983027536946776,4.479684864891059,0.9519451023615628,0.7570763256654741,3.898450671343401,0.7262155462365344,0.8330687065229269,-0.7862069626922353,0.6952767575349542,0.2765908942016681,hormuz_crisis,2019-06-13
2019-01-16,436,-2.9168510715019726,-10537.953665205636,3274.4603962580736,2.2966895975724926,5.213540669074465,0.3315798687340904,0.2863661085014871,2.9168510715019726,3.2182260250415613,0.8352872904244127,0.6941918535078578,3.81495658370972,-0.7606096116053417,-0.8109081770187363,-0.8573011903377219,-0.8583501211255649,0.008709907800764,hormuz_crisis,2019-06-13
2019-01-17,549,-2.979009740984271,-12586.731045609742,3875.907359216684,2.040465402018506,5.0194751430027775,0.4175168530619624,0.3489066458344281,2.979009740984271,3.2474282481698697,1.0393962966349104,0.7109798037240618,3.74684458904648,-0.6739268939131046,-0.7728508276590913,-0.7329119881826105,-0.4435861929473086,-0.2098194376083783,hormuz_crisis,2019-06-13
2019-01-18,448,-3.302460346992678,-12216.636550407016,3237.9254755197167,1.9625259375747728,5.264986284567452,0.3407059201671387,0.2931962813440835,3.302460346992678,3.7729826219814817,0.9682690930245448,0.7284645286987722,3.749919994146921,-0.2228622588183261,-0.0879301514572532,-0.7762587090004717,-0.011607713131017,-0.1999523610855107,hormuz_crisis,2019-06-13
2019-01-19,361,-4.544039691991008,-15075.701276854745,3012.1153456972484,1.899885064942513,6.44392475693352,0.2745420472775381,0.2425869354844516,4.544039691991008,5.005021238110987,1.10232466359981,0.7723000517148245,3.895032692298789,1.5085691368561318,1.5177052767975596,-0.6945618462412239,1.071394886098597,0.265624709362505,hormuz_crisis,2019-06-13
2019-01-20,398,-3.7246874557566376,-11889.595589595749,2672.133407264456,1.494607788785571,5.219295244542209,0.3026807058627705,0.2644242227287411,3.7246874557566376,4.449476795309965,0.9848975853959412,0.7773861520837662,3.958150789729675,0.3659501075953216,0.7937005032023482,-0.7661248842490679,1.197052333313026,0.4681317212807164,hormuz_crisis,2019-06-13
2019-01-21,403,-4.173571493551154,-15918.897757937972,3199.63930503454,1.8829900659223624,6.056561559473517,0.3064832272932073,0.2673389680034389,4.173571493551154,4.975216341695155,1.115758295974537,0.7628342059141818,4.072353264243885,0.9919366135609072,1.4788625027203437,-0.6863750501553422,0.8375312316773021,0.8345369649251755,hormuz_crisis,2019-06-13
