date,event_name,event_date,N,mean_tone,F1_raw,F2_raw,F3_raw,F4_raw,F5_raw,F1_z,F2_z,F3_z,F4_z,F5_z,GPR,GPR_zscore
2019-09-24,soleimani_assassination,2020-01-03,771,-3.331761244732011,3.331761244732011,3.809054225568595,1.6102243263455325,0.7063666849927389,3.809054225568595,-0.4396464694712084,-0.4107515495991385,-0.3756862432215841,-0.3916999404587197,-0.7212812566590103,103.24,-0.00641177888409437
2019-09-25,soleimani_assassination,2020-01-03,1120,-3.631837867413669,3.631837867413669,4.011693008394519,2.3362563455112246,0.7139665880777275,3.915706216529608,-0.104679222908873,-0.2082270271391715,0.0089800533755924,-0.2161699809036935,-0.5365636798563209,124.11,0.3354754159200223
2019-09-26,soleimani_assassination,2020-01-03,2037,-3.2958479288030955,3.2958479288030955,3.53223341514593,3.201755941087845,0.6780372702451927,3.7742033377902433,-0.4797355122101159,-0.6874162712086838,0.4675390636509131,-1.0460057874209538,-0.7816417945339469,70.67,-0.5399654892228617
2019-09-27,soleimani_assassination,2020-01-03,1470,-3.337297588422772,3.337297588422772,3.8970397467943054,2.6081587954105965,0.6890175334756075,3.809921979547749,-0.4334664019086506,-0.3228156400899702,0.1530394139512878,-0.7924018744256419,-0.7197783366399283,88.06,-0.2550867964752054
2019-09-28,soleimani_assassination,2020-01-03,650,-3.3624766846764333,3.3624766846764333,4.438753962741034,1.4164875936932946,0.7101623218841961,3.9634791535345344,-0.4053596721419513,0.2185931236442292,-0.4783318421716298,-0.3040346133364524,-0.4538225975681952,38.83,-1.0615605195325442
2019-09-29,soleimani_assassination,2020-01-03,496,-2.689379010321688,2.689379010321688,3.161852500332859,0.9044494392047526,0.6686193210641967,3.792395756736762,-1.1567200168140186,-1.0575883421949226,-0.749619905788849,-1.2635259610790617,-0.750133151200615,61.06,-0.6973941400167074
2019-09-30,soleimani_assassination,2020-01-03,968,-2.5704255461200933,2.5704255461200933,2.846141581867248,1.4824103935399753,0.6566325198322801,3.611017847563994,-1.2895044837164282,-1.3731212431824504,-0.4434046232488616,-1.5403772198258203,-1.064273445873403,95.55,-0.1323874630260999
2019-10-01,soleimani_assassination,2020-01-03,952,-4.4341136975791,4.4341136975791,5.234926802156614,2.524995139671024,0.7518692703038374,3.8961478669598257,0.7908791295293978,1.014317031227867,0.1089776444695712,0.6592433242103248,-0.5704380680063811,90.14,-0.22101274926904527
2019-10-02,soleimani_assassination,2020-01-03,937,-5.987345618497454,5.987345618497454,7.04429170843223,3.3683803364890648,0.8101130044807817,4.410063821532521,2.5247090266177112,2.822661704883362,0.5558200036229329,2.004460518440911,0.3196466735303367,69.65,-0.5566748777566517
2019-10-03,soleimani_assassination,2020-01-03,1648,-5.867895039570948,5.867895039570948,6.669740356284146,4.959058982488326,0.8041601745770841,4.757000983431257,2.3913696442769017,2.448321548114412,1.3985933905816503,1.866971924106348,0.9205298944742728,46.48,-0.9362401055291186
2019-10-04,soleimani_assassination,2020-01-03,1962,-6.247676151278055,6.247676151278055,7.058830236416784,5.9246951328626585,0.808833562261656,5.092451988630316,2.8153088107073034,2.8371920351403896,1.910206752002944,1.974910083591325,1.501519487430374,111.27,0.12513370143584127
2019-10-05,soleimani_assassination,2020-01-03,1313,-7.448398012227613,7.448398012227613,8.418947722667728,5.376665240410337,0.8513542596729463,5.556029560890483,4.15564146326505,4.196542602445432,1.6198495451728223,2.956982646016178,2.3044198837227854,54.15,-0.8105920564564031
2019-10-06,soleimani_assassination,2020-01-03,1261,-5.695500963471905,5.695500963471905,6.374610149720595,3.994156342467946,0.7836004917733543,5.665786313717406,2.1989308982043174,2.153357754341821,0.8873686576284165,1.3921184620758813,2.494514801194436,38.97,-1.059267074047514
2019-10-07,soleimani_assassination,2020-01-03,2631,-4.4538283196584505,4.4538283196584505,4.884652845169308,5.068464188667472,0.7459121047161973,5.56450247278121,0.8128860176899017,0.6642405805123243,1.4565584587583178,0.5216545914373413,2.3190946754337984,52.96,-0.8300863430791581
2019-10-08,soleimani_assassination,2020-01-03,1532,-3.964516486441013,3.964516486441013,4.602034042094264,3.187997041836067,0.7347242647815188,5.4433014045667605,0.2666807317916598,0.3817811355197525,0.4602493234180828,0.2632564159236099,2.109178597686552,118.78,0.2481606699542369
2019-10-09,soleimani_assassination,2020-01-03,1900,-4.168059512490594,4.168059512490594,4.637236967138561,3.871108194327736,0.7457647543652194,5.344361127787726,0.4938901904409077,0.4169642109624964,0.8221752857126342,0.5182513373618178,1.9378174443678908,82.47,-0.3466607983417609
2019-10-10,soleimani_assassination,2020-01-03,2139,-4.129150094849129,4.129150094849129,4.562829655285356,4.137805100901785,0.7449479530461757,5.250565515919995,0.4504566821048303,0.3425988545857485,0.9634766452362148,0.4993862148868448,1.7753666735682487,165.17,1.0081102131723951
2019-10-11,soleimani_assassination,2020-01-03,1637,-3.4083263376146413,3.4083263376146413,3.8081394441076872,2.8674318392719704,0.6985020684812682,5.080849435551875,-0.3541789708153998,-0.4116658152492868,0.2904074624076621,-0.5733438117997876,1.481424264921517,204.32,1.6494558613075734
2019-10-12,soleimani_assassination,2020-01-03,1289,-4.38607025071931,4.38607025071931,4.703826618980121,3.124692567074178,0.7662605684608428,5.037258690629379,0.7372495566350765,0.4835163154111917,0.4267093455357466,0.9916296658773732,1.4059265953463556,103.07,-0.00919667697305941
2019-10-13,soleimani_assassination,2020-01-03,999,-5.000536382038741,5.000536382038741,5.706156141420119,2.953594435632645,0.7712986027788346,5.113406194482317,1.4231611290678103,1.4852806620420669,0.3360581306596555,1.1079898286563774,1.5378114506082696,94.85,-0.14385469045125002
2019-10-14,soleimani_assassination,2020-01-03,1288,-3.7955685042928313,3.7955685042928313,4.138426313876566,2.702510885709936,0.7278451358299534,5.0039293620878125,0.0780887652242556,-0.0815651817876161,0.2030290400195097,0.1043737021391227,1.3482013456891837,118.48,0.24324614391488694
2019-10-15,soleimani_assassination,2020-01-03,2168,-3.5881912747843674,3.5881912747843674,3.856831600298893,3.626369768228393,0.7187489772488787,4.876689360825199,-0.1534007088553979,-0.3630011147282542,0.6925079686832305,-0.105714285824285,1.1278260437954482,108.07,0.07271209034944097
2019-10-16,soleimani_assassination,2020-01-03,2901,-3.819391532191301,3.819391532191301,4.018319668486106,4.603947422689661,0.732810477920241,4.782504879273002,0.1046817533371406,-0.2016041035712474,1.2104481780005714,0.2190549403784086,0.964701764089323,193.5,1.4722052888216826
