date,event_name,event_date,N,mean_tone,F1_raw,F2_raw,F3_raw,F4_raw,F5_raw,F1_z,F2_z,F3_z,F4_z,F5_z,GPR,GPR_zscore
2021-01-29,russia_ukraine_war,2022-02-24,2560,-2.732146311928976,2.732146311928976,3.5375957005024627,1.2385382088596433,0.6805951395697677,3.5375957005024627,-0.2889859987519272,0.2763299358204545,-0.543430978379457,-0.4536526139522522,0.5179621435351737,63.22,-0.6620095525333873
2021-01-30,russia_ukraine_war,2022-02-24,1656,-2.8247242414097538,2.8247242414097538,3.400206012258545,0.8913172986931641,0.6886546736671704,3.465285338268822,-0.1060518887203183,0.0431964503855285,-0.8645542601192509,-0.1614922786847798,0.2705240345608758,61.92,-0.6833058320372374
2021-01-31,russia_ukraine_war,2022-02-24,2516,-5.424265310869985,5.424265310869985,6.37089476250894,2.424843490988152,0.7869782625428159,4.53746593761942,5.03064467275397,5.084091668508711,0.5537098739952099,3.402764952991583,3.939408158319519,23.89,-1.3063039162921752
2021-02-01,russia_ukraine_war,2022-02-24,2625,-3.2635874108759,3.2635874108759,4.340566710840895,1.5095154364775365,0.7073931372306875,4.480211146465443,0.7611423095319695,1.6388734624572896,-0.2928207931585049,0.5177821968557834,3.743488558206281,60.05,-0.7139397110158526
2021-02-02,russia_ukraine_war,2022-02-24,3851,-3.399300456794171,3.399300456794171,4.455428281480555,2.11456130794584,0.7164154360660079,4.474159312570083,1.0293114661978944,1.8337794895982256,0.2667489509443445,0.8448430195725709,3.7227798480209264,192.34,1.4532024548028626
2021-02-03,russia_ukraine_war,2022-02-24,3124,-2.9773205509664025,2.9773205509664025,3.74697400988353,1.5796474003516727,0.6842616868610404,4.318963210758667,0.195478619030444,0.6316193004328773,-0.2279600496528174,-0.320739262765179,3.191715851572931,69.92,-0.5522518043212368
2021-02-04,russia_ukraine_war,2022-02-24,3446,-2.96183272613563,2.96183272613563,3.759662095160547,1.6945295628500543,0.6856802061846896,4.211756426747201,0.1648746568589736,0.6531494282171046,-0.1217125975130351,-0.2693175458058445,2.824866024167809,78.18,-0.4169385207044661
2021-02-05,russia_ukraine_war,2022-02-24,3532,-3.5708003006959985,3.5708003006959985,4.372266220347604,2.0815485801834983,0.7214001894431588,4.239939140090256,1.3681953825988815,1.692663650296978,0.2362175077972634,1.025541705165749,2.92130417051312,106.44,0.04600983220230592
2021-02-06,russia_ukraine_war,2022-02-24,1756,-2.7863829706646226,2.7863829706646226,3.666330807620768,0.924383164648766,0.6894601230965951,4.14630095563105,-0.1818142899813856,0.4947776563440348,-0.8339736727227717,-0.1322945145835571,2.6008845988961298,63.06,-0.6646306330877073
2021-02-07,russia_ukraine_war,2022-02-24,1656,-2.3254669596050594,2.3254669596050594,3.051439655333518,0.7337809823166798,0.6619266151377745,3.978202528109991,-1.0925849321354288,-0.5486173708091104,-1.010249917917509,-1.1303917766735614,2.0256702624920275,48.48,-0.9034765986001185
