date,event_name,event_date,N,mean_tone,F1_raw,F2_raw,F3_raw,F4_raw,F5_raw,F1_z,F2_z,F3_z,F4_z,F5_z,GPR,GPR_zscore
2019-01-01,hormuz_crisis,2019-06-13,364,-2.55346789465184,2.55346789465184,2.7851185261454683,0.6240047382205166,0.6749472321359122,2.7851185261454683,-1.2673617926824925,-1.3753488815277102,-0.9860621332567934,-1.3338086883559517,-3.2954047009349123,83.74,-0.32585597144184586
2019-01-02,hormuz_crisis,2019-06-13,420,-3.508871557643166,3.508871557643166,3.9466853936953417,0.9726101815608732,0.7341955458581138,3.3964695090664545,0.064986320476386,0.138445321355455,-0.7736131396081947,0.1299830801971143,-1.3339567830829158,189.86,1.4125757062109026
2019-01-03,hormuz_crisis,2019-06-13,1160,-4.939393105834897,4.939393105834897,5.389265776329546,3.1238367859602567,0.7731305040139821,4.131818685178296,2.0599050751302235,2.0184660773115253,0.5373988825664844,1.0919120816660934,1.025324792759695,9.49,-1.5422011661809765
2019-01-04,hormuz_crisis,2019-06-13,609,-2.934361626739746,2.934361626739746,3.3205303733300258,1.1167877255142469,0.706573077746893,3.8959104816748735,-0.7361904512701534,-0.6775816043561699,-0.6857476896997854,-0.5524589828446423,0.2684409936118689,99.02,-0.07554277850428467
2019-01-05,hormuz_crisis,2019-06-13,394,-2.666511269793104,2.666511269793104,2.8969145904536777,0.6988560568286087,0.6947176905240643,3.651961398326189,-1.1097183447779575,-1.2296523755556554,-0.9404458423601708,-0.8453587658013866,-0.514241025332431,40.48,-1.0345306263161191
2019-01-06,hormuz_crisis,2019-06-13,641,-2.04066168768496,2.04066168768496,2.07555733969723,0.8103173627132744,0.6276378730812046,3.315524779110902,-1.9824902862548337,-2.300073613821372,-0.8725184972244943,-2.5026360525321034,-1.5936584544106132,40.5,-1.0342029912468291
2019-01-07,hormuz_crisis,2019-06-13,614,-3.4015487558882693,3.4015487558882693,3.891871235455994,1.3034230189778813,0.7228930719191539,3.425998812396326,-0.0846795620777601,0.0670096104233141,-0.5720074110175969,-0.1492563998277069,-1.2392154771063413,83.16,-0.33535738845125584
2019-01-08,hormuz_crisis,2019-06-13,549,-3.990484811198412,3.990484811198412,4.768687531957427,1.3923066707284688,0.7629099111183374,3.661751475480238,0.7366150094826428,1.2097069993709773,-0.5178394606113021,0.8394016081946681,-0.4828307111497824,67.88,-0.585670581388817
2019-01-09,hormuz_crisis,2019-06-13,567,-3.340955249190796,3.340955249190796,3.7616537692831984,1.1977905785238905,0.7186656487404586,3.678059936995688,-0.1691795984972261,-0.1026943049632435,-0.6363824978093009,-0.253699325919725,-0.4305069253434513,106.43,0.04584601466766107
2019-01-10,hormuz_crisis,2019-06-13,636,-4.013263880496389,4.013263880496389,4.506068106166756,1.5833368548598596,0.7612012010227195,3.805187337675959,0.7683813205973105,0.8674522610234632,-0.4014208241541638,0.7971861320794085,-0.0226335721759102,76.84,-0.43889007034689625
